"course_id","category_id","category_name"
"1244","169","Formación Integral para la Inserción Laboral Cohorte 2"
"1245","165","Orientación Vocacional para el éxito Profesional Cohorte 1"
"1246","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1247","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1248","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1249","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1250","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1251","170","Orientación Vocacional para el éxito Profesional Cohorte 2"
"1252","171","Formación en Tics para Mujeres Cohorte 2"
"1253","171","Formación en Tics para Mujeres Cohorte 2"
"1254","171","Formación en Tics para Mujeres Cohorte 2"
"1255","171","Formación en Tics para Mujeres Cohorte 2"
"1256","171","Formación en Tics para Mujeres Cohorte 2"
"1257","171","Formación en Tics para Mujeres Cohorte 2"
"1258","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1259","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1260","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1261","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1262","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1263","172","Orientación Vocacional para el éxito Profesional Cohorte 3"
"1264","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1265","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1266","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1267","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1268","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1269","173","Formación Integral para la Inserción Laboral Cohorte 3"
"1270","174","Cursos complementario 2024"
"1271","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
"1272","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
"1273","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
"1274","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
"1275","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
"1276","175","Orientación Vocacional para el Éxito Profesional Cohorte 4"
